status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
,12.0,existing credits paid back duly till now,,625.0,... < 100 DM,... < 1 year,4.0,male : married/widowed,guarantor,1.0,real estate,26.0,bank,own,1.0,unskilled - resident,1.0,no,yes,1
,12.0,existing credits paid back duly till now,retraining,1200.0,unknown/no savings account,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,23.0,bank,rent,,skilled employee/official,1.0,yes,yes,1
no checking account,12.0,existing credits paid back duly till now,,707.0,,1 <= ... < 4 years,4.0,male : single,none,2.0,real estate,30.0,bank,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,,delay in paying off in the past,others,,unknown/no savings account,1 <= ... < 4 years,4.0,male : single,none,4.0,real estate,32.0,none,own,2.0,skilled employee/official,2.0,yes,yes,1
no checking account,15.0,,car (used),4657.0,... < 100 DM,1 <= ... < 4 years,,male : single,none,2.0,car or other,30.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,36.0,no credits taken/all credits paid back duly,education,2613.0,,1 <= ... < 4 years,4.0,male : single,none,2.0,car or other,27.0,none,,2.0,skilled employee/official,,,yes,1
,48.0,existing credits paid back duly till now,domestic appliances,10961.0,... >= 1000 DM,4 <= ... < 7 years,1.0,male : single,co-applicant,2.0,unknown/no property,27.0,bank,own,2.0,skilled employee/official,,yes,yes,0
... < 100 DM,12.0,,radio/television,7865.0,... < 100 DM,,4.0,male : single,none,4.0,unknown/no property,53.0,none,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,,yes,0
no checking account,9.0,,domestic appliances,1478.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,none,2.0,car or other,22.0,none,own,1.0,,1.0,no,,0
... < 100 DM,24.0,existing credits paid back duly till now,radio/television,3149.0,... < 100 DM,... < 1 year,4.0,male : single,,1.0,unknown/no property,22.0,bank,for free,1.0,skilled employee/official,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,36.0,existing credits paid back duly till now,domestic appliances,4210.0,,1 <= ... < 4 years,4.0,male : single,none,2.0,car or other,26.0,none,own,1.0,skilled employee/official,1.0,no,,0
no checking account,9.0,existing credits paid back duly till now,car (new),2507.0,500 <= ... < 1000 DM,... >= 7 years,2.0,male : single,none,4.0,unknown/no property,51.0,none,for free,,unskilled - resident,1.0,no,yes,1
no checking account,12.0,existing credits paid back duly till now,domestic appliances,2141.0,,4 <= ... < 7 years,3.0,male : single,none,1.0,unknown/no property,35.0,none,,1.0,skilled employee/official,,no,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,domestic appliances,866.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,guarantor,2.0,,25.0,none,own,1.0,unskilled - resident,1.0,no,yes,1
,4.0,critical account/other credits existing,domestic appliances,1544.0,... < 100 DM,4 <= ... < 7 years,2.0,,none,1.0,real estate,42.0,none,own,,unskilled - resident,2.0,no,,1
... < 100 DM,,existing credits paid back duly till now,domestic appliances,1823.0,... < 100 DM,unemployed,4.0,male : single,none,2.0,car or other,30.0,stores,own,1.0,management/self-employed/highly qualified employee/officer,2.0,no,yes,0
0 <= ... < 200 DM,6.0,existing credits paid back duly till now,car (new),14555.0,unknown/no savings account,unemployed,1.0,male : single,none,2.0,building society savings agreement/life insurance,,none,,1.0,unemployed/unskilled - non-resident,1.0,,yes,0
0 <= ... < 200 DM,21.0,existing credits paid back duly till now,others,2767.0,100 <= ... < 500 DM,... >= 7 years,4.0,male : divorced/separated,none,2.0,car or other,61.0,bank,rent,2.0,unskilled - resident,1.0,no,yes,0
no checking account,12.0,critical account/other credits existing,domestic appliances,1291.0,... < 100 DM,1 <= ... < 4 years,4.0,,,2.0,building society savings agreement/life insurance,,none,own,2.0,skilled employee/official,,no,yes,1
,30.0,existing credits paid back duly till now,domestic appliances,2522.0,... < 100 DM,... >= 7 years,1.0,male : single,guarantor,3.0,building society savings agreement/life insurance,39.0,none,own,1.0,skilled employee/official,2.0,no,yes,1
... < 100 DM,,,car (new),915.0,unknown/no savings account,... >= 7 years,4.0,female : divorced/separated/married,none,,car or other,29.0,bank,own,1.0,skilled employee/official,1.0,no,yes,0
no checking account,6.0,existing credits paid back duly till now,domestic appliances,1595.0,... < 100 DM,,3.0,male : single,none,2.0,building society savings agreement/life insurance,51.0,none,own,1.0,skilled employee/official,2.0,no,yes,1
... < 100 DM,48.0,no credits taken/all credits paid back duly,car (used),4605.0,... < 100 DM,... >= 7 years,3.0,male : single,,4.0,unknown/no property,24.0,none,for free,2.0,skilled employee/official,2.0,no,yes,0
no checking account,12.0,critical account/other credits existing,others,1185.0,... < 100 DM,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,2.0,real estate,27.0,,own,,skilled employee/official,1.0,no,yes,1
no checking account,12.0,all credits at this bank paid back duly,business,3447.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,3.0,,,none,own,1.0,unskilled - resident,2.0,no,,1
,24.0,existing credits paid back duly till now,others,1258.0,... < 100 DM,4 <= ... < 7 years,4.0,,none,1.0,real estate,,none,own,1.0,skilled employee/official,,yes,yes,1
no checking account,12.0,critical account/other credits existing,,717.0,... < 100 DM,... >= 7 years,,,none,4.0,real estate,52.0,none,own,3.0,skilled employee/official,1.0,no,yes,1
no checking account,6.0,no credits taken/all credits paid back duly,car (new),1204.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,male : single,none,1.0,unknown/no property,35.0,bank,rent,1.0,skilled employee/official,1.0,no,no,1
,24.0,existing credits paid back duly till now,radio/television,1925.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,real estate,26.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,18.0,,domestic appliances,433.0,... < 100 DM,unemployed,3.0,female : divorced/separated/married,co-applicant,4.0,real estate,22.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,6.0,critical account/other credits existing,car (new),666.0,,4 <= ... < 7 years,3.0,female : divorced/separated/married,none,4.0,real estate,39.0,none,own,2.0,unskilled - resident,1.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,12.0,existing credits paid back duly till now,radio/television,2251.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,,2.0,car or other,46.0,none,own,1.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,30.0,existing credits paid back duly till now,,2150.0,,1 <= ... < 4 years,4.0,female : divorced/separated/married,guarantor,2.0,unknown/no property,24.0,,own,1.0,skilled employee/official,1.0,no,yes,0
no checking account,24.0,,radio/television,4151.0,100 <= ... < 500 DM,1 <= ... < 4 years,,male : single,none,3.0,building society savings agreement/life insurance,,none,own,2.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,9.0,,radio/television,2030.0,unknown/no savings account,4 <= ... < 7 years,2.0,male : single,,1.0,car or other,,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,60.0,delay in paying off in the past,domestic appliances,7418.0,unknown/no savings account,1 <= ... < 4 years,1.0,,none,1.0,real estate,27.0,none,own,1.0,unskilled - resident,1.0,no,yes,1
no checking account,24.0,critical account/other credits existing,domestic appliances,,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,2.0,real estate,35.0,none,own,2.0,unskilled - resident,,no,yes,1
... < 100 DM,12.0,,domestic appliances,2149.0,... < 100 DM,1 <= ... < 4 years,4.0,male : divorced/separated,none,1.0,unknown/no property,29.0,none,for free,1.0,skilled employee/official,1.0,no,yes,0
no checking account,15.0,existing credits paid back duly till now,car (used),,100 <= ... < 500 DM,... < 1 year,1.0,,none,4.0,car or other,23.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,11.0,,domestic appliances,1154.0,100 <= ... < 500 DM,unemployed,4.0,female : divorced/separated/married,none,4.0,,57.0,none,own,3.0,unskilled - resident,1.0,no,yes,1
,12.0,,radio/television,,,1 <= ... < 4 years,2.0,,none,2.0,real estate,27.0,none,own,1.0,skilled employee/official,1.0,,yes,1
... < 100 DM,24.0,existing credits paid back duly till now,domestic appliances,1603.0,... < 100 DM,... >= 7 years,4.0,female : divorced/separated/married,none,4.0,car or other,55.0,none,own,,skilled employee/official,1.0,no,yes,1
... < 100 DM,18.0,critical account/other credits existing,car (new),5302.0,,... >= 7 years,,male : single,none,4.0,unknown/no property,36.0,none,,3.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,12.0,critical account/other credits existing,retraining,,... < 100 DM,... >= 7 years,2.0,female : divorced/separated/married,none,4.0,,57.0,bank,for free,3.0,unskilled - resident,1.0,no,yes,1
no checking account,10.0,critical account/other credits existing,car (new),1231.0,... < 100 DM,... >= 7 years,3.0,male : single,none,,real estate,32.0,none,own,2.0,,2.0,no,no,1
0 <= ... < 200 DM,15.0,existing credits paid back duly till now,domestic appliances,802.0,... < 100 DM,... >= 7 years,4.0,male : single,none,3.0,car or other,37.0,none,,1.0,skilled employee/official,2.0,,,0
no checking account,36.0,critical account/other credits existing,others,6304.0,unknown/no savings account,... >= 7 years,4.0,,none,4.0,real estate,,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,24.0,existing credits paid back duly till now,domestic appliances,1533.0,... < 100 DM,... < 1 year,4.0,,none,3.0,car or other,38.0,stores,own,1.0,skilled employee/official,,yes,,1
,14.0,existing credits paid back duly till now,car (new),,... < 100 DM,... >= 7 years,1.0,male : divorced/separated,none,4.0,building society savings agreement/life insurance,45.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,no,0
,24.0,existing credits paid back duly till now,domestic appliances,999.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,2.0,car or other,25.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,18.0,existing credits paid back duly till now,,2662.0,,4 <= ... < 7 years,,male : single,,,building society savings agreement/life insurance,32.0,,own,1.0,skilled employee/official,1.0,no,,1
no checking account,12.0,critical account/other credits existing,radio/television,,500 <= ... < 1000 DM,4 <= ... < 7 years,3.0,female : divorced/separated/married,none,4.0,car or other,37.0,none,rent,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,48.0,all credits at this bank paid back duly,car (new),12169.0,,unemployed,4.0,male : single,co-applicant,4.0,unknown/no property,,none,for free,,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,domestic appliances,3060.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,,4.0,,28.0,none,own,2.0,,1.0,no,yes,0
... < 100 DM,30.0,existing credits paid back duly till now,education,11998.0,... < 100 DM,,1.0,male : divorced/separated,none,1.0,unknown/no property,34.0,none,own,1.0,unskilled - resident,1.0,yes,,0
no checking account,9.0,existing credits paid back duly till now,domestic appliances,2697.0,... < 100 DM,,1.0,male : single,none,2.0,real estate,32.0,,,1.0,skilled employee/official,2.0,no,yes,1
,,,,2404.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,car or other,26.0,none,own,,skilled employee/official,1.0,,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,radio/television,1262.0,unknown/no savings account,... >= 7 years,,,,,building society savings agreement/life insurance,49.0,none,own,1.0,unskilled - resident,1.0,yes,yes,1
no checking account,6.0,existing credits paid back duly till now,radio/television,,,... < 1 year,1.0,female : divorced/separated/married,none,4.0,,32.0,none,own,1.0,,1.0,no,yes,0
no checking account,24.0,existing credits paid back duly till now,domestic appliances,1901.0,100 <= ... < 500 DM,,4.0,male : single,none,4.0,car or other,29.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
,15.0,critical account/other credits existing,car (used),3368.0,... >= 1000 DM,... >= 7 years,,male : single,none,4.0,unknown/no property,23.0,none,rent,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,12.0,existing credits paid back duly till now,radio/television,1574.0,... < 100 DM,1 <= ... < 4 years,,male : single,none,2.0,real estate,50.0,none,,1.0,skilled employee/official,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,18.0,all credits at this bank paid back duly,,1445.0,unknown/no savings account,4 <= ... < 7 years,4.0,male : single,,4.0,car or other,49.0,bank,own,1.0,unskilled - resident,1.0,no,yes,1
no checking account,,critical account/other credits existing,radio/television,1520.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,63.0,none,own,1.0,,1.0,no,yes,1
,24.0,critical account/other credits existing,car (new),3878.0,100 <= ... < 500 DM,... < 1 year,4.0,male : divorced/separated,none,2.0,car or other,37.0,none,own,,skilled employee/official,1.0,yes,yes,1
... < 100 DM,47.0,existing credits paid back duly till now,car (new),10722.0,... < 100 DM,... < 1 year,1.0,female : divorced/separated/married,none,,real estate,35.0,none,,1.0,unskilled - resident,1.0,,yes,1
... < 100 DM,48.0,existing credits paid back duly till now,car (used),4788.0,... < 100 DM,4 <= ... < 7 years,,male : single,none,3.0,building society savings agreement/life insurance,26.0,none,own,,,2.0,no,yes,1
0 <= ... < 200 DM,48.0,delay in paying off in the past,furniture/equipment,7582.0,100 <= ... < 500 DM,unemployed,2.0,male : single,none,4.0,unknown/no property,31.0,none,for free,,management/self-employed/highly qualified employee/officer,,yes,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,domestic appliances,1092.0,,,4.0,female : divorced/separated/married,guarantor,4.0,real estate,49.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,24.0,delay in paying off in the past,,1024.0,... < 100 DM,... < 1 year,4.0,male : married/widowed,none,4.0,real estate,48.0,stores,own,1.0,skilled employee/official,1.0,no,yes,0
no checking account,12.0,existing credits paid back duly till now,,1076.0,... < 100 DM,1 <= ... < 4 years,2.0,male : married/widowed,none,2.0,real estate,26.0,,own,1.0,skilled employee/official,1.0,yes,no,1
,36.0,existing credits paid back duly till now,car (used),9398.0,... < 100 DM,... < 1 year,1.0,male : married/widowed,none,4.0,car or other,28.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,24.0,,car (used),6419.0,... < 100 DM,... >= 7 years,2.0,female : divorced/separated/married,none,4.0,unknown/no property,44.0,none,for free,2.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,42.0,critical account/other credits existing,,4796.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,unknown/no property,56.0,none,for free,,skilled employee/official,1.0,no,yes,1
no checking account,48.0,critical account/other credits existing,others,7629.0,unknown/no savings account,... >= 7 years,4.0,male : divorced/separated,none,2.0,car or other,46.0,bank,own,2.0,management/self-employed/highly qualified employee/officer,2.0,no,,1
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,radio/television,9960.0,... < 100 DM,,,,none,2.0,car or other,26.0,none,own,1.0,skilled employee/official,1.0,yes,,0
no checking account,12.0,existing credits paid back duly till now,car (used),4675.0,,... < 1 year,1.0,female : divorced/separated/married,none,4.0,car or other,20.0,none,rent,1.0,skilled employee/official,1.0,no,yes,1
no checking account,10.0,existing credits paid back duly till now,car (new),1287.0,unknown/no savings account,... >= 7 years,4.0,male : single,co-applicant,,building society savings agreement/life insurance,45.0,none,own,1.0,unskilled - resident,1.0,no,no,1
,18.0,existing credits paid back duly till now,radio/television,2515.0,,1 <= ... < 4 years,3.0,male : single,none,4.0,real estate,43.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,21.0,,radio/television,2745.0,... >= 1000 DM,,3.0,male : single,none,,car or other,32.0,none,,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,6.0,existing credits paid back duly till now,car (new),672.0,... < 100 DM,unemployed,1.0,female : divorced/separated/married,none,4.0,real estate,,none,own,1.0,unemployed/unskilled - non-resident,1.0,yes,yes,1
0 <= ... < 200 DM,36.0,,domestic appliances,3804.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.0,car or other,42.0,,own,1.0,skilled employee/official,,,,0
... >= 200 DM / salary for at least 1 year,24.0,,car (new),,,4 <= ... < 7 years,4.0,male : single,none,2.0,real estate,37.0,bank,own,2.0,unskilled - resident,,no,yes,0
... < 100 DM,10.0,critical account/other credits existing,car (new),1038.0,... < 100 DM,4 <= ... < 7 years,,male : single,co-applicant,3.0,,,none,own,,skilled employee/official,1.0,yes,yes,1
no checking account,48.0,critical account/other credits existing,car (new),10127.0,500 <= ... < 1000 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,unknown/no property,44.0,bank,for free,1.0,,,no,yes,0
no checking account,6.0,existing credits paid back duly till now,radio/television,1543.0,... >= 1000 DM,1 <= ... < 4 years,4.0,male : divorced/separated,none,2.0,real estate,33.0,none,own,1.0,,1.0,no,yes,1
no checking account,30.0,existing credits paid back duly till now,,4811.0,unknown/no savings account,4 <= ... < 7 years,2.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,24.0,stores,rent,,unskilled - resident,1.0,no,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,domestic appliances,727.0,100 <= ... < 500 DM,... < 1 year,4.0,male : married/widowed,none,3.0,,33.0,none,own,1.0,unskilled - resident,1.0,yes,yes,0
,8.0,,radio/television,1237.0,... < 100 DM,1 <= ... < 4 years,3.0,female : divorced/separated/married,none,4.0,real estate,24.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,car (new),276.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,none,4.0,real estate,22.0,,rent,,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,furniture/equipment,5381.0,unknown/no savings account,,3.0,male : single,none,4.0,unknown/no property,40.0,bank,for free,1.0,unemployed/unskilled - non-resident,1.0,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,radio/television,5511.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,male : single,none,1.0,car or other,25.0,stores,own,1.0,skilled employee/official,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,,,radio/television,,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,,car or other,26.0,none,own,,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,car (new),685.0,... < 100 DM,4 <= ... < 7 years,,male : married/widowed,none,3.0,car or other,25.0,bank,own,1.0,unskilled - resident,1.0,no,,0
... >= 200 DM / salary for at least 1 year,4.0,existing credits paid back duly till now,car (new),1494.0,unknown/no savings account,... < 1 year,1.0,male : single,none,,real estate,29.0,none,,1.0,unskilled - resident,2.0,no,no,1
... < 100 DM,36.0,all credits at this bank paid back duly,radio/television,2746.0,... < 100 DM,... >= 7 years,4.0,,none,4.0,car or other,31.0,bank,,1.0,,,,yes,0
... < 100 DM,12.0,existing credits paid back duly till now,radio/television,708.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,guarantor,3.0,,38.0,none,own,,unskilled - resident,2.0,no,,1
0 <= ... < 200 DM,,existing credits paid back duly till now,radio/television,4351.0,unknown/no savings account,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,,,48.0,,own,,,1.0,yes,yes,1
no checking account,,,retraining,701.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,2.0,car or other,32.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,15.0,delay in paying off in the past,radio/television,,... < 100 DM,... >= 7 years,1.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,27.0,none,own,2.0,,1.0,no,yes,1
,30.0,,car (new),4249.0,... < 100 DM,unemployed,,male : married/widowed,none,,car or other,28.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,0
... < 100 DM,24.0,existing credits paid back duly till now,domestic appliances,1938.0,... < 100 DM,... < 1 year,4.0,male : divorced/separated,none,3.0,building society savings agreement/life insurance,32.0,none,own,,skilled employee/official,1.0,no,yes,0
... < 100 DM,24.0,existing credits paid back duly till now,car (used),2910.0,... < 100 DM,4 <= ... < 7 years,,male : single,none,1.0,,34.0,none,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,radio/television,2659.0,... >= 1000 DM,1 <= ... < 4 years,,male : single,none,2.0,car or other,28.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,18.0,critical account/other credits existing,car (new),1028.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,,real estate,36.0,,own,2.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,8.0,critical account/other credits existing,car (new),3398.0,... < 100 DM,4 <= ... < 7 years,1.0,male : single,none,4.0,,39.0,,own,2.0,unskilled - resident,,no,no,1
no checking account,12.0,critical account/other credits existing,radio/television,5801.0,unknown/no savings account,... >= 7 years,2.0,male : single,none,4.0,building society savings agreement/life insurance,49.0,none,rent,1.0,,1.0,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,car (new),1525.0,... >= 1000 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,car or other,34.0,none,own,1.0,skilled employee/official,2.0,yes,,1
... >= 200 DM / salary for at least 1 year,36.0,existing credits paid back duly till now,,4473.0,... < 100 DM,... >= 7 years,4.0,male : single,none,2.0,,,none,own,1.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,6.0,existing credits paid back duly till now,domestic appliances,1068.0,... < 100 DM,,,male : single,none,4.0,car or other,28.0,none,own,1.0,skilled employee/official,2.0,,,1
... < 100 DM,,critical account/other credits existing,car (used),6615.0,... < 100 DM,unemployed,2.0,male : single,none,4.0,unknown/no property,75.0,none,,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,18.0,critical account/other credits existing,retraining,1864.0,,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,,,,none,own,2.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,,existing credits paid back duly till now,car (new),7408.0,100 <= ... < 500 DM,... < 1 year,4.0,female : divorced/separated/married,none,2.0,,,none,own,1.0,,1.0,no,,0
no checking account,48.0,critical account/other credits existing,car (used),11590.0,100 <= ... < 500 DM,,2.0,female : divorced/separated/married,none,4.0,,24.0,bank,rent,2.0,unskilled - resident,1.0,no,,0
,,no credits taken/all credits paid back duly,radio/television,4110.0,... < 100 DM,... >= 7 years,,male : single,none,4.0,unknown/no property,23.0,bank,rent,2.0,skilled employee/official,2.0,no,yes,0
... < 100 DM,6.0,,radio/television,3384.0,... < 100 DM,1 <= ... < 4 years,1.0,male : divorced/separated,none,4.0,real estate,44.0,none,rent,,management/self-employed/highly qualified employee/officer,1.0,,yes,0
0 <= ... < 200 DM,13.0,existing credits paid back duly till now,domestic appliances,2101.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,guarantor,4.0,building society savings agreement/life insurance,,none,own,1.0,unskilled - resident,1.0,no,yes,1
... < 100 DM,15.0,existing credits paid back duly till now,repairs,1275.0,unknown/no savings account,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,car or other,24.0,none,rent,1.0,,1.0,no,yes,0
... < 100 DM,24.0,existing credits paid back duly till now,radio/television,,... < 100 DM,1 <= ... < 4 years,4.0,male : single,,4.0,,28.0,,own,,skilled employee/official,1.0,no,yes,1
,10.0,existing credits paid back duly till now,radio/television,1521.0,... < 100 DM,1 <= ... < 4 years,4.0,male : divorced/separated,none,2.0,car or other,31.0,none,own,1.0,unskilled - resident,,no,yes,1
0 <= ... < 200 DM,24.0,,retraining,5743.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,4.0,unknown/no property,,none,for free,2.0,,1.0,yes,,1
... < 100 DM,21.0,existing credits paid back duly till now,radio/television,3599.0,... < 100 DM,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,4.0,car or other,26.0,none,rent,,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,domestic appliances,3213.0,500 <= ... < 1000 DM,... < 1 year,,male : married/widowed,none,3.0,real estate,25.0,none,rent,1.0,skilled employee/official,1.0,no,,1
,18.0,existing credits paid back duly till now,others,4439.0,... < 100 DM,... >= 7 years,1.0,male : single,co-applicant,1.0,real estate,33.0,bank,own,1.0,,1.0,,yes,1
... >= 200 DM / salary for at least 1 year,10.0,,car (new),,... < 100 DM,... < 1 year,1.0,male : single,guarantor,1.0,building society savings agreement/life insurance,37.0,none,own,1.0,unskilled - resident,2.0,no,yes,1
no checking account,15.0,critical account/other credits existing,domestic appliances,1459.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,car or other,,none,own,1.0,unskilled - resident,1.0,no,,1
0 <= ... < 200 DM,13.0,critical account/other credits existing,domestic appliances,882.0,... < 100 DM,... < 1 year,4.0,male : single,guarantor,4.0,real estate,23.0,none,own,2.0,skilled employee/official,1.0,no,,1
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,domestic appliances,3758.0,500 <= ... < 1000 DM,unemployed,1.0,female : divorced/separated/married,none,,unknown/no property,23.0,none,rent,1.0,unemployed/unskilled - non-resident,1.0,no,,1
no checking account,6.0,delay in paying off in the past,others,1743.0,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,male : single,none,,real estate,34.0,none,own,2.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,9.0,,retraining,1136.0,... >= 1000 DM,... >= 7 years,,male : single,none,3.0,unknown/no property,32.0,none,,2.0,skilled employee/official,2.0,no,yes,0
no checking account,9.0,existing credits paid back duly till now,repairs,1236.0,... < 100 DM,... < 1 year,1.0,female : divorced/separated/married,none,,real estate,23.0,none,,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,radio/television,959.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,2.0,car or other,29.0,none,own,1.0,skilled employee/official,,no,no,0
no checking account,18.0,critical account/other credits existing,car (used),3229.0,unknown/no savings account,,2.0,male : single,none,4.0,unknown/no property,38.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,12.0,no credits taken/all credits paid back duly,domestic appliances,6199.0,... < 100 DM,,4.0,male : single,none,2.0,,,none,rent,2.0,skilled employee/official,1.0,yes,yes,0
no checking account,10.0,,,727.0,500 <= ... < 1000 DM,... >= 7 years,4.0,male : single,none,4.0,unknown/no property,46.0,none,for free,,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,,existing credits paid back duly till now,car (new),1246.0,... < 100 DM,,4.0,,,2.0,real estate,23.0,,own,1.0,,1.0,no,yes,0
no checking account,,critical account/other credits existing,,2331.0,,,1.0,male : single,co-applicant,,real estate,49.0,none,own,1.0,skilled employee/official,,yes,yes,1
,,,domestic appliances,4463.0,,,4.0,male : single,none,2.0,car or other,26.0,,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,,,domestic appliances,776.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,none,2.0,real estate,28.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,30.0,existing credits paid back duly till now,radio/television,2406.0,,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,4.0,real estate,,none,rent,1.0,skilled employee/official,1.0,no,,0
0 <= ... < 200 DM,18.0,,,1239.0,unknown/no savings account,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown/no property,61.0,none,,1.0,,1.0,no,yes,1
